Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Desi Villagio,delhi-ncr,"Connaught Place (CP), Central Delhi",Indian,₹1300 for two,4.1
Hard Rock Cafe,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500 for two,4.0
Cafe Out of the Box Courtyard,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200 for two,3.9
Sakura,delhi-ncr,"The Metropolitan Hotel & Spa, New Delhi","Japanese, Sushi",₹4500 for two,4.0
Shang Palace,delhi-ncr,Shangri-La Eros New Delhi,Chinese,₹3000 for two,4.5
Dr. Zombie,delhi-ncr,"Connaught Place (CP), Central Delhi","Italian, Cocktail Menu",₹1000 for two,4.3
Fifty9,delhi-ncr,"Radisson Blu Marina, New Delhi",Multicuisine,₹2500 for two,4.4
Barista Coffee,delhi-ncr,"Shivaji Stadium Metro Station, Connaught Place (CP), Central Delhi","Cafe, Coffee",₹500 for two,4.0
The Imperial Spice,delhi-ncr,"Connaught Place (CP), Central Delhi","Continental, North Indian",₹2000 for two,4.4
Zing,delhi-ncr,"The Metropolitan Hotel & Spa, New Delhi",Multicuisine,₹3500 for two,1.0
Sorrento,delhi-ncr,Shangri-La Eros New Delhi,Italian,₹3000 for two,4.6
Biryani By Kilo,delhi-ncr,"Connaught Place (CP), Central Delhi",Biryani,₹700 for two,4.6
Lord of the Drinks,delhi-ncr,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800 for two,4.2
Punjab Grill,delhi-ncr,"Janpath, Connaught Place (CP), Central Delhi",North Indian,₹2000 for two,4.1
"Chutney, Bar + Tandoor",delhi-ncr,"The Metropolitan Hotel & Spa, New Delhi",Indian,₹3000 for two,3.5
Themis Barbecue House,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹2400 for two,4.5
Lazeez Affaire,delhi-ncr,"Connaught Place (CP), Central Delhi",North Indian,₹1600 for two,4.3
Somewhere Restaurant & Bar,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500 for two,4.1
The Immigrant Cafe,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200 for two,4.3
"MIST, THE Park New Delhi",delhi-ncr,"The Park, New Delhi",Multicuisine,₹2500 for two,4.0
Openhouse Cafe,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000 for two,4.2
Yeti-The Himalayan Kitchen,delhi-ncr,"Connaught Place (CP), Central Delhi","Chinese, Nepalese, Tibetan",₹1200 for two,4.3
Plum Coffee & Cocktails,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000 for two,4.3
