Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Desi Villagio,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Indian,1300,4.1
Hard Rock Cafe,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1500,4.0
Cafe Out of the Box Courtyard,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1200,3.9
Sakura,Delhi-Ncr,"The Metropolitan Hotel & Spa, New Delhi","Japanese, Sushi",3450,4.0
Shang Palace,Delhi-Ncr,Shangri-La Eros New Delhi,Chinese,3000,4.5
Dr. Zombie,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Italian, Cocktail Menu",1000,4.3
Fifty9,Delhi-Ncr,"Radisson Blu Marina, New Delhi",Multicuisine,2500,4.4
Barista Coffee,Delhi-Ncr,"Shivaji Stadium Metro Station, Connaught Place (CP), Central Delhi","Cafe, Coffee",500,4.0
The Imperial Spice,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Continental, North Indian",2000,4.4
Zing,Delhi-Ncr,"The Metropolitan Hotel & Spa, New Delhi",Multicuisine,3450,1.0
Sorrento,Delhi-Ncr,Shangri-La Eros New Delhi,Italian,3000,4.6
Biryani By Kilo,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Biryani,700,4.6
Lord of the Drinks,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",1800,4.2
Punjab Grill,Delhi-Ncr,"Janpath, Connaught Place (CP), Central Delhi",North Indian,2000,4.1
"Chutney, Bar + Tandoor",Delhi-Ncr,"The Metropolitan Hotel & Spa, New Delhi",Indian,3000,3.5
Themis Barbecue House,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,2400,4.5
Lazeez Affaire,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,1600,4.3
Somewhere Restaurant & Bar,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1500,4.1
The Immigrant Cafe,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1200,4.3
"MIST, THE Park New Delhi",Delhi-Ncr,"The Park, New Delhi",Multicuisine,2500,4.0
Openhouse Cafe,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,2000,4.2
Yeti-The Himalayan Kitchen,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Chinese, Nepalese, Tibetan",1200,4.3
Plum Coffee & Cocktails,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,2000,4.3
24/7 Restaurant,Delhi-Ncr,"The Lalit, New Delhi",Multicuisine,3000,4.2
Moti Mahal,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,1500,4.2
38 Barracks,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1100,4.2
Warehouse Cafe,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",1300,4.1
Vega,Delhi-Ncr,"Hotel Alka Classic, New Delhi",North Indian,1700,4.2
